test,age_int,n,ri_source,fp_rate
aPTT,2,888,Manufacturer,37.5
aPTT,2,888,refineR,17.22972972972973
aPTT,2,888,Continuous (GAMLSS),13.175675675675674
aPTT,2,888,Guven et al.,19.594594594594593
aPTT,2,888,Direct (a posteriori),11.26126126126126
aPTT,3,742,Manufacturer,35.04043126684636
aPTT,3,742,refineR,12.129380053908356
aPTT,3,742,Continuous (GAMLSS),9.164420485175203
aPTT,3,742,Guven et al.,12.93800539083558
aPTT,3,742,Direct (a posteriori),7.008086253369273
aPTT,4,821,Manufacturer,33.37393422655298
aPTT,4,821,refineR,10.962241169305726
aPTT,4,821,Continuous (GAMLSS),9.500609013398295
aPTT,4,821,Guven et al.,12.423873325213155
aPTT,4,821,Direct (a posteriori),6.455542021924482
aPTT,5,971,Manufacturer,36.56024716786818
aPTT,5,971,refineR,11.225540679711637
aPTT,5,971,Continuous (GAMLSS),10.401647785787848
aPTT,5,971,Guven et al.,12.461380020597321
aPTT,5,971,Direct (a posteriori),6.6941297631307934
aPTT,6,1018,Manufacturer,39.587426326129666
aPTT,6,1018,refineR,11.100196463654225
aPTT,6,1018,Continuous (GAMLSS),10.510805500982318
aPTT,6,1018,Guven et al.,12.671905697445974
aPTT,6,1018,Direct (a posteriori),6.8762278978389
aPTT,7,1033,Manufacturer,36.30203291384318
aPTT,7,1033,refineR,11.423039690222653
aPTT,7,1033,Continuous (GAMLSS),11.519845111326234
aPTT,7,1033,Guven et al.,14.52081316553727
aPTT,7,1033,Direct (a posteriori),7.357212003872217
aPTT,8,937,Manufacturer,36.926360725720386
aPTT,8,937,refineR,10.138740661686233
aPTT,8,937,Continuous (GAMLSS),10.779082177161152
aPTT,8,937,Guven et al.,14.727854855923159
aPTT,8,937,Direct (a posteriori),6.08324439701174
aPTT,9,885,Manufacturer,37.175141242937855
aPTT,9,885,refineR,12.768361581920903
aPTT,9,885,Continuous (GAMLSS),12.88135593220339
aPTT,9,885,Guven et al.,14.576271186440678
aPTT,9,885,Direct (a posteriori),7.909604519774012
aPTT,10,843,Manufacturer,32.62158956109134
aPTT,10,843,refineR,10.55753262158956
aPTT,10,843,Continuous (GAMLSS),10.320284697508896
aPTT,10,843,Guven et al.,12.69276393831554
aPTT,10,843,Direct (a posteriori),5.338078291814947
aPTT,11,781,Manufacturer,33.162612035851474
aPTT,11,781,refineR,10.243277848911651
aPTT,11,781,Continuous (GAMLSS),9.859154929577464
aPTT,11,781,Guven et al.,12.03585147247119
aPTT,11,781,Direct (a posteriori),5.249679897567221
aPTT,12,789,Manufacturer,31.1787072243346
aPTT,12,789,refineR,10.899873257287707
aPTT,12,789,Continuous (GAMLSS),10.26615969581749
aPTT,12,789,Guven et al.,13.307984790874524
aPTT,12,789,Direct (a posteriori),13.054499366286437
aPTT,13,885,Manufacturer,28.8135593220339
aPTT,13,885,refineR,10.282485875706215
aPTT,13,885,Continuous (GAMLSS),10.847457627118644
aPTT,13,885,Guven et al.,13.67231638418079
aPTT,13,885,Direct (a posteriori),12.768361581920903
aPTT,14,963,Manufacturer,28.971962616822427
aPTT,14,963,refineR,11.838006230529595
aPTT,14,963,Continuous (GAMLSS),12.357217030114226
aPTT,14,963,Guven et al.,16.510903426791277
aPTT,14,963,Direct (a posteriori),13.811007268951196
aPTT,15,1194,Manufacturer,24.455611390284755
aPTT,15,1194,refineR,9.128978224455611
aPTT,15,1194,Continuous (GAMLSS),8.961474036850921
aPTT,15,1194,Guven et al.,15.326633165829145
aPTT,15,1194,Direct (a posteriori),10.804020100502512
aPTT,16,1393,Manufacturer,24.838478104809763
aPTT,16,1393,refineR,10.050251256281408
aPTT,16,1393,Continuous (GAMLSS),9.691313711414214
aPTT,16,1393,Guven et al.,18.090452261306535
aPTT,16,1393,Direct (a posteriori),11.916726489590811
aPTT,17,1686,Manufacturer,23.902728351126928
aPTT,17,1686,refineR,9.727164887307236
aPTT,17,1686,Continuous (GAMLSS),9.905100830367735
aPTT,17,1686,Guven et al.,19.632265717674972
aPTT,17,1686,Direct (a posteriori),11.269276393831554
