test,department,origin_rule,origin,n
Fibrinogen,TIBBI RETINA (ONK 1.KAT),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,TIBBI RETINA -4 (ONK 1.KAT),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,UROLOJI POL. -7 (ONK 2.KAT),R3_poliklinik_muayene,Outpatient,1
PT,COCUK KARDIYOLOJI SERVISI (MT1-7C),R4_servis_klinik,Inpatient,669
PT,COCUK NOROLOJI SERVISI (MT1-8B),R4_servis_klinik,Inpatient,154
PT,COCUK KLINIK SERVIS (MT1-8A),R4_servis_klinik,Inpatient,132
PT,COCUK CERRAHI SERVISI-2 (MT1-6A),R4_servis_klinik,Inpatient,114
PT,COCUK CERRAHI SERVISI -1 (MT1-6C),R4_servis_klinik,Inpatient,103
PT,KADIN HASTALIKLARI (KONSULTASYON),R1_konsultasyon,Inpatient,86
PT,ANESTEZI (KONSULTASYON),R1_konsultasyon,Inpatient,84
PT,COCUK ROMATOLOJI SERVISI (MT1-7C),R4_servis_klinik,Inpatient,72
PT,COCUK ENFEKSIYON SERVISI (MT1-6B),R4_servis_klinik,Inpatient,62
PT,ORTOPEDI SERVISI (MT4-7C),R4_servis_klinik,Inpatient,45
PT,COCUK GASTROENTROLOJI SERVISI (MT1-7B),R4_servis_klinik,Inpatient,40
PT,KBB SERVISI-1 (MT4-9A),R4_servis_klinik,Inpatient,36
PT,ORTOPEDI SERVISI (MT4-7A),R4_servis_klinik,Inpatient,35
PT,COCUK KLINIK SERVIS (MT1-8C),R4_servis_klinik,Inpatient,33
PT,KBB SERVIS-2 (MT4-9C),R4_servis_klinik,Inpatient,24
PT,NOROSIRURJI SERVISI (MT4-10A),R4_servis_klinik,Inpatient,20
PT,KAPALI COCUK VE ERGEN PSIKIYATRI SERV (F4-2.KAT),R4_servis_klinik,Inpatient,16
PT,COCUK VE ERGEN PSIKIYATRI SERV (F1-2.KAT),R4_servis_klinik,Inpatient,14
PT,LDRP-1 SERVISI (MT1-2A),R4_servis_klinik,Inpatient,12
PT,GOZ SERVISI (MT3-6SAG),R4_servis_klinik,Inpatient,11
PT,COCUK CERRAHI (KONSULTASYON),R1_konsultasyon,Inpatient,9
PT,COCUK NOROLOJI (KONSULTASYON),R1_konsultasyon,Inpatient,9
PT,COCUK PALYATIF SERVISI (MT1-7B),R4_servis_klinik,Inpatient,9
PT,KBB (KONSULTASYON),R1_konsultasyon,Inpatient,8
PT,COCUK KARDIYOLOJI SERVISI (MT1-7B),R4_servis_klinik,Inpatient,6
PT,GIRISIMSEL RADYOLOJI (KONSULTASYON),R1_konsultasyon,Inpatient,6
PT,NOROSIRURJI SERVISI (MT4-10B),R4_servis_klinik,Inpatient,6
PT,ORTOPEDI SERVISI (MT4-7B),R4_servis_klinik,Inpatient,6
PT,BEYIN VE SINIR CERRAHISI (KONSULTASYON),R1_konsultasyon,Inpatient,4
PT,KADIN HASTALIKLARI KLINIK SERVIS (MT1-10A),R4_servis_klinik,Inpatient,4
PT,KADIN HASTALIKLARI KLINIK SERVIS (MT1-10B),R4_servis_klinik,Inpatient,4
PT,COCUK SAGLIGI VE HST. (KONSULTASYON),R1_konsultasyon,Inpatient,3
PT,ERKEK MAHKUM SERVISI (MT4-1A),R4_servis_klinik,Inpatient,3
PT,GOZ HASTALIKLARI (KONSULTASYON),R1_konsultasyon,Inpatient,3
